x o  xo x4
ooxxoxx  8
ox xxox o2
 xo o  xx6
 xoo xoxx0
 xx oox  3
xx o ooxx4
  xxoxxoo0
xxoxx oo 8
o xxoxxo 8
oxxo x xo6
x oo xoxx4
xx  o o x2
  x xxo o7
 x oo x x5
ox    xxo4
ox ooxxx 8
 ooxx xox0
oxxo x xo4
 x oxxoox0
ox xo  x 8
 xxo ox  4
oxxoo xx 5
  xxo  ox1
oxx    xo4
xx  oo x 3
 xxoo xox5
ooxox  xx6
ox o xxxo4
 xxxo oxo0
 xxo xo  0
o x xooxx3
o oxx xxo5
oo xx xxo2
ooxxox x 8
o oxx xxo5
x ox xoxo4
xoxo  xox4
ooxxoxx  7
 oo xxxxo0
ooxxoxx  7
xo xoxo x7
o  xxoxxo2
oxox  xxo4
oxxo o xx4
o o  x xx1
xoo  xxox4
oxxox  ox6
oxxx o xo4
 xx ooxox3
xoxo o xx4
oxo  xxxo4
xo  oxoxx2
oo  xxoxx2
xxoxx o o7
ox  oxoxx3
xooxox  x6
 x x xo o7
 xox  o x4
 x xoooxx2
x xo oxxo4
oxox oxx 8
xoxx o ox4
x oxoo xx6
 ooxx x  0
x xxox oo1
 xx oo  x3
 xooox xx6
xox oo xx3
x xoo xox5
oxox  xxo5
  xxo xo 1
ox xooxx 8
xx x ooxo2
ox x oxxo2
oxxoxx o 6
xox xxo o7
xoxo oxx 4
 x xxoxoo2
xoo  xxox4
 xxo o  x4
 oox x x 0
xox oox x7
oxx  ooxx3
oxx   o x3
  xoxxoxo0
 xx ooxxo3
 o xxoxxo2
oxxooxx  8
o oxox xx1
oxx    xo4
 xxoxxo o0
xxooo xx 5
 xxoo x  5
  x o xxo0
xxo o xxo5
x x ooxox3
 xo  oxx 8
o x  x xo4
xoox xox 4
oxxo oxx 4
xoxx xoo 4
 xoxo xxo0
xoox xo x4
o ooxx xx6
xoxx xo o7
o  xxoxxo2
o xoxo xx6
x oxoo xx6
xx xooox 2
xoxx   o 4
xo xo oxx2
oo   x xx2
xoxx x oo6
xoxoo x x5
oox x oxx3
o xx x  o4
ooxx xxo 4
oxxoox x 6
 xx ooxxo3
ox xoxo x2
 x xo x o0
xoxoo  xx5
x ox xoox4
oo xxo xx2
xoo  xxox4
xoxo oxx 4
ox    xxo4
o ooxx xx1
x oo xoxx4
xxox xo o7
 ooxx oxx0
 x xoxxoo0
xx xxooo 8
xxox  oxo4
xoxx x oo6
 xx o x o0
  oxox x 6
 xxxoxoo 8
 ox oxx  7
oxxx xoo 8
   xxox o2
oxoxoxx  8
x x x o o7
oxoxox x 6
oxxoo x x5
 xx oo  x3
oo xxox x2
  xxx  oo6
x xoo xxo5
x xxxoo o7
 oo  xxx 0
 oo xxxox0
 xooxxo x0
 xoxox xo6
 xxoo xxo0
oo xxox x2
o xo   xx6
o  xoxxox1
 xxxo xoo0
o x xxoxo3
xo x   ox4
o xxo  x 8
oo xoxxx 2
oo xxoxx 2
xoox xox 4
  xxoxoxo0
 xo xox  8
x   xo xo2
oxox oxx 8
x  xx o o7
oxxo ox x4
xxo ooxx 3
ox  xxo  3
xxo ooxx 8
 xxxo oxo0
  oxox x 6
xx x  oo 8
xox xxo o7
xxo  xoxo4
 x xooxxo0
oo  xx  x2
 x xo  xo0
oxxxo xo 8
o  xoxxox1
xoxx x oo6
xo xo   x7
 o x  xox4
ox o x x 6
  xxoxxoo1
oo xxox x2
xxox  oxo4
 xooxxo x0
o  xo xx 8
xooxx  xo5
  xxx oo 8
oo  xxxxo2
 xooox xx6
xx ooxox 2
oxx  xo  3
 o oxxoxx0
xxox oox 8
 x  xxo o7
xx xoxo o2
xoox x ox4
 o xo x x7
x ooxoxx 8
  xooxxxo0
xoox xox 4
 x  xox o2
xo xo   x7
 xoxx xoo5
x x oooxx3
x   oo xx3
oxxxo    8
 x xoxoxo0
xx  ooxxo3
oxx  oxxo4
xoo xoxx 8
o  o x xx6
oxx oo xx3
 x xoxoxo2
oxxo x xo6
 xxoo xxo5
ox   xx o4
 ooxox xx0
xx o ox  4
oo xoxxx 2
x ooox xx6
o  xxoxxo2
 xoxo  x 6
ox  oxoxx2
oxxxo ox 8
xoox  oxx4
 ooxxox x0
 xxxo oxo0
xxo  xoxo4
oox x oxx3
 xox xo  4
 xoxxo   8
x  x x oo6
 xxoxxoo 0
oo  x xx 2
 oxx  xo 4
xoxo  xox4
 xxo xo  0
x  xo  ox1
ox o   xx6
ooxx xxo 4
xxooox x 6
o ox xxxo4
 xxo  ox 0
 xxxxooo 8
oxxo ox x4
 oo xx  x0
oxxoxo  x6
o x x o x3
 xox xoxo4
 x oo x x5
xoxxx oo 8
 x ooxxxo0
 oox xxox4
  oxx  xo5
xxoo o xx4
o  xxoxxo2
xxoox x o5
oxxooxx  8
oxoxxox  8
x xoxx oo6
oo xx xxo2
 oxx xxoo4
xxo xoxo 8
 x x x oo6
x o ox x 6
xx xox oo6
oo oxxx x2
ox   xo x3
oxoxx x o5
o x xxoxo3
 xx oxoxo0
xxo xxo o7
oxx x oox3
x  xoxoox1
  xx xo o7
ooxox  xx6
  xxooxox1
 oo x x x0
xox xx oo6
 x xxo  o2
  x xx oo6
xxo oo xx3
o xx x  o4
oo xx   x2
xoo ox xx6
ox  o xx 8
 xooox xx6
 oxxoxx o0
 x xooxxo0
xx o oxxo4
oo oxx xx2
ox xoxxo 8
xxo xxo o7
xox   xo 4
x  xx oo 8
xoo oxx x7
oxxoxx  o6
oo  xxx  2
xx ooxo x2
 oox xoxx0
 x  oxo x2
xxoxxoo  8
  xxoxxoo0
xxooo  xx5
xo o xxox4
oxx  xoxo3
  oxox  x6
o x  xx o4
oxx  xxoo4
 x  oo xx3
oo  x xx 2
ooxx x xo4
 xxo o x 4
  xxo  ox1
oxxxoo x 8
xox oxx o7
oxx  xo  3
 x xoxxoo0
oxxo oxx 4
oox  xxxo4
 x ooxoxx2
oo xoxxx 2
x xo o  x4
x xxoo ox1
xx o oxxo2
  xxx oo 8
xoox x ox4
o xxoxxo 1
 xx oxoxo0
oxx oxxo 8
 xxoxx oo6
oxx oxox 3
 xxxxo oo6
 oxoxxox 0
 xxx  o o7
  xo  oxx0
  xxox  o0
x xxoxoo 1
 xo   oxx4
   xo oxx2
oxxo    x6
  xx x oo6
ox   x xo4
ox x oxxo4
    xoxxo2
xxo oo xx6
xxo x xoo5
o xxoxxo 1
  xoo xx 5
x o   oxx4
oo xoxxx 8
xxoxx oo 8
xxoo xox 4
o  xoxoxx2
o  xoxoxx2
oo oxxxx 2
xx  oxo  2
x o   xxo5
   xxo xo2
xxoxxoo  8
o xxoxxo 1
xoxxo o x7
oxo xxo x3
xxox oox 8
oxxxo xo 8
  xxooxxo0
oxox x xo4
 oxox oxx0
xx xox oo6
 oooxxx x0
o o xxoxx3
oxoxox  x6
  xxx  oo6
oxoxo xx 8
o xx   xo4
oo  x x x2
    oxoxx2
  xxoxxoo1
xoxx xoo 8
xooxox  x7
xooxox  x7
xxox xo o4
oo  xxxxo2
x ooxoxx 8
 xxoxoo x0
oo  xxxxo2
x   oxo x2
xxo ooxx 8
oo  x xx 2
xxoxxoo  8
 xxo oxxo4
xoxo xxo 4
ox  oxoxx2
 xxoo oxx0
o ox xxxo1
oxx x oox3
xx  x o o7
o xx xxoo4
xoxoo x x7
xxoo xox 4
 xx ooxxo0
 x oo  xx5
 xxxxooo 8
xxo ox ox6
o o xxxxo1
xoo x xxo5
oo xxox x2
oxx ooxx 3
oo x xxxo2
xox xxoo 8
oo  xxoxx2
xoxxo o x7
xxoxo    6
 xxoo x  5
oxoxoxx  8
 xoxo xxo0
oxx oo xx3
ox  oxoxx3
o xxo xox1
o oxoxxx 1
o   xxo x3
  xxooxox1
oo xxoxx 2
 xooox xx6
xxo o  x 6
x oox xxo5
xox o x  7
x   o xox1
    oxoxx2
    oxoxx2
 xoxox ox6
   xox ox1
 oo x  xx0
xx  oooxx2
oxxo ox x4
ooxoxx x 6
xo xoxo x7
   xo xxo0
xxo ox   6
x  xoxo  2
 x  oxx o0
o   x oxx3
   o xoxx0
    oxoxx2
ox  o xx 8
ox  oxoxx3
 oxxoxx o0
xox oox x7
oxx xxoo 8
xoxoo x x5
oxxoo x x5
  xxooxxo0
xoxoo xx 5
xoxxoxo  7
x   ox ox1
 x  ox xo0
 xx oo x 3
xo  oxoxx2
   xoxx o0
 oooxxx x0
xxooox  x6
 xx oooxx3
xo  oxx  7
x   oox x3
 xx oo  x3
xo xoxox 2
x x oox  3
xxoxox  o6
oxxoo xx 8
xxoxxoo  8
 xx o  xo0
xox o   x7
xx oo   x5
  xxo xo 1
 x oxxoox0
x xoo xxo5
o  xoxxox1
   xox ox1
ox xooxx 8
xxo xx oo6
    oxoxx2
  xxo  xo0
 xox xoxo4
 xx o  xo0
xxo ox xo6
x oxox ox1
ox xox   8
xxo ox ox6
xxox xoo 8
 xoo xoxx4
xooxx  xo5
xoxxo    7
 xxxox oo6
oxx oxxo 8
xx  o ox 2
x xoxx oo6
xoxxo    7
   xxo xo2
oxoxox  x6
 xx ox  o0
ox xooxx 8
 xxooxx o0
 xx oxoxo0
 xxxoxo o0
  x oxx o0
 xx oxxoo0
x   o xox1
 oxxo xxo0
xx  ooxox3
  xxo  xo0
  x o xox1
xxoxo  ox6
x   o xox1
xxoxo    6
o x x o x3
 xx x o o7
xx oo x  5
x xoo x  5
xo xoxo x2
oxx oox x3
xo  oxoxx2
xox o   x7
o  xoxoxx2
xoo x xxo5
x  xoooxx2
xoxxox  o7
o xxooxx 8
  o ox xx6
 xx ox  o0
oxx oox x3
oo  x xx 2
   xo xxo0
xx xxoo o2
  xxox  o0
 ox oxxxo0
o xx xoxo4
xxo x xoo5
  oxxo x 8
ox  o xx 8
oxx oxxo 8
oxoxoxx  8
x oxox ox6
  o ox xx6
x oxox   6
x xoxxo o7
  ooxxoxx0
x  xoooxx2
oxxxoox  8
x  xoxoxo2
x xoo xxo5
 xxooxox 0
xoxxoxo  7
 xxooxx o0
oo  xx x 2
  ooxxoxx0
oxx o  x 8
  x o xox1
xxo ox   6
xox ox   7
 oxxo   x7
xxoxo    6
  xooxxxo0
x xoo xxo5
x  oo x x5
 xx oxoxo0
oox xxox 3
xx xooox 2
x xoo xox5
x ooox xx6
 xo ox  x6
